OSVendor,OSReleaseFamily,位数,OSRelease,VMwareRelease,e1000 (Networking),e1000e (Networking),Enhanced VMXNET (Networking),Vlance (Networking),VMXNET (Networking),VMXNET 3 (Networking),Flexible,VXLAN-Rx Filter (Networking),BusLogic (Storage),IDE (Storage),LSI Logic (Storage),LSI Logic SAS (Storage),Native SS for LC (Storage),NVMe (Storage),SATA (Storage),VMware Paravirtual (Storage),open-vm-tools (VMware Tools),OSP Format Tools (VMware Tools),Tools available for download (VMware Tools),Tools bundled with host (VMware Tools),Hot Add Memory  (Virtual Hardware),Hot Add vCPU  (Virtual Hardware),Paravirtualization (VMI) (Virtual Hardware),SMP (Virtual Hardware),Flex (vCSA),HTML (vCSA),VMware 支持日期,ESXPatches,SupportConsiderations,KBIds,VMWRelName,脚注
,Linux,32,Ubuntu,ESXi 5.5,Supported,,Supported,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2012,64,Windows Server 2012  R2,ESXi 5.5,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,64,Windows Server 2008  R2,ESXi 5.5,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,64,Windows Server 2008,ESXi 5.5,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,32,Windows Server 2008,ESXi 5.5,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2003,64,Windows Server 2003,ESXi 5.5,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2003,32,Windows Server 2003,ESXi 5.5,Recommended,,Supported,Not Supported,Not Supported,Supported,Supported,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 8,64,Windows 8,ESXi 5.5,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 8,32,Windows 8,ESXi 5.5,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 7,64,Windows 7,ESXi 5.5,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 7,32,Windows 7,ESXi 5.5,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Vista,64,Windows Vista,ESXi 5.5,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,Not Supported,Supported,Supported,Not Supported,Not Supported,Not Supported,Supported,,,September-22-2013,,Legacy Support,,ESXi,Legacy
Microsoft,Windows Vista,32,Windows Vista,ESXi 5.5,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,Not Supported,Supported,Supported,Not Supported,Not Supported,Not Supported,Supported,,,September-22-2013,,Legacy Support,,ESXi,Legacy
Microsoft,Windows Server 2016,64,Windows Server 2016,ESXi 6.0,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,Not Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,,,September-29-2016,,,2059549,ESXi,
Microsoft,Windows Server 2012,64,Windows Server 2012  R2,ESXi 6.0,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2012,64,Windows Server 2012,ESXi 6.0,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,64,Windows Server 2008  R2,ESXi 6.0,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,64,Windows Server 2008,ESXi 6.0,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2008,32,Windows Server 2008,ESXi 6.0,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2003,64,Windows Server 2003,ESXi 6.0,Recommended,,Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Server 2003,32,Windows Server 2003,ESXi 6.0,Recommended,,Supported,Not Supported,Not Supported,Supported,Supported,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 8,64,Windows 8,ESXi 6.0,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 8,32,Windows 8,ESXi 6.0,Supported,Recommended,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 7,64,Windows 7,ESXi 6.0,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows 7,32,Windows 7,ESXi 6.0,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Supported,Recommended,,,,Supported,,,,,,,,,,,,,,,,
Microsoft,Windows Vista,64,Windows Vista,ESXi 6.0,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,Not Supported,Supported,Supported,Not Supported,Not Supported,Not Supported,Supported,,,September-22-2013,,Legacy Support,,ESXi,Legacy
Microsoft,Windows Vista,32,Windows Vista,ESXi 6.0,Recommended,,Not Supported,Not Supported,Not Supported,Supported,,,Supported,,Recommended,Supported,,,,Supported,,Not Supported,Supported,Supported,Not Supported,Not Supported,Not Supported,Supported,,,September-22-2013,,Legacy Support,,ESXi,Legacy
,Linux,64,Ubuntu,ESXi 5.5,Supported,,Supported,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Red Hat 7,ESXi 6.0,Supported,Supported,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,64,Red Hat 6,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,32,Red Hat 6,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,64,Red Hat 5,ESXi 6.0,Recommended,,Supported,,,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,Red Hat 5,ESXi 6.0,Recommended,,Supported,,,Supported,Supported,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Red Hat 4,ESXi 6.0,Recommended,,Supported,,,,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,Red Hat 4,ESXi 6.0,Supported,,,,,,Recommended,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Red Hat 3,ESXi 6.0,Recommended,,Supported,,,,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,Red Hat 3,ESXi 6.0,Supported,,,,,,Recommended,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,SUSE 12,ESXi 6.0,Supported,Supported,,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,SUSE 11,ESXi 6.0,Supported,,Supported,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,SUSE 11,ESXi 6.0,Supported,,Supported,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,SUSE 10,ESXi 6.0,Recommended,,Supported,,,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,SUSE 10,ESXi 6.0,Supported,,Supported,,,Supported,Recommended,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,SUSE 8/9,ESXi 6.0,Recommended,,Supported,,,,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,SUSE 8/9,ESXi 6.0,Supported,,,,,,Recommended,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,CentOS,ESXi 6.0,Supported,,Supported,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,CentOS,ESXi 6.0,Supported,,Supported,,,Recommended,Supported,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Debian 8,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,32,Debian 8,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,64,Debian 7,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,32,Debian 7,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Supported,Supported,,,,Recommended,,,,,,,,,,,,,,,,
,Linux,64,Debian 6,ESXi 6.0,Recommended,,,,,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,Debian 6,ESXi 6.0,Recommended,,,,,Supported,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Ubuntu,ESXi 6.0,Supported,,,,,Recommended,,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,32,Ubuntu,ESXi 6.0,Supported,,,,,Recommended,Supported,,Supported,,Recommended,Supported,,,,Supported,,,,,,,,,,,,,,,,
,Linux,64,Unknow,ESXi 6.0,Recommended,Supported,Supported,Supported,Supported,Supported,Supported,,Supported,,Recommended,Supported,,,,Supported,,,Supported,Supported,Supported,Supported,Supported,Supported,,,,,,,,